"DownloadedAt","NexusModId","ArchiveName","SizeMB","SourceUrl","FullPath","BacklogStatus","Notes"
"2026-06-23 22:47:52","3201","Amrynn 1-3201-1-0.zip","1.5","https://www.nexusmods.com/witcher3/mods/3201","C:\Users\marti\Downloads\Amrynn 1-3201-1-0.zip","triage",""
"2026-06-23 22:47:30","3201","Viola 1-3201-1-0.zip","1.08","https://www.nexusmods.com/witcher3/mods/3201","C:\Users\marti\Downloads\Viola 1-3201-1-0.zip","triage",""
"2026-06-23 22:47:10","3201","Susy-3201-1-0.zip","0.91","https://www.nexusmods.com/witcher3/mods/3201","C:\Users\marti\Downloads\Susy-3201-1-0.zip","triage",""
"2026-06-23 22:46:43","3201","Mercia-3201-1-0.zip","1.06","https://www.nexusmods.com/witcher3/mods/3201","C:\Users\marti\Downloads\Mercia-3201-1-0.zip","triage",""
"2026-06-23 22:46:19","3201","The Belles of Beauclair Courtisan 1.-3201-1-0.zip","0.22","https://www.nexusmods.com/witcher3/mods/3201","C:\Users\marti\Downloads\The Belles of Beauclair Courtisan 1.-3201-1-0.zip","triage",""
"2026-06-23 22:45:51","3201","The Belles of Beauclair courtisan 2.-3201-1-0.zip","0.32","https://www.nexusmods.com/witcher3/mods/3201","C:\Users\marti\Downloads\The Belles of Beauclair courtisan 2.-3201-1-0.zip","triage",""
"2026-06-23 22:45:30","3201","The Belles of Beauclair courtisan 3.-3201-1-0.zip","0.32","https://www.nexusmods.com/witcher3/mods/3201","C:\Users\marti\Downloads\The Belles of Beauclair courtisan 3.-3201-1-0.zip","triage",""
"2026-06-23 22:44:58","3201","Bertha 1-3201-1-0.zip","0.24","https://www.nexusmods.com/witcher3/mods/3201","C:\Users\marti\Downloads\Bertha 1-3201-1-0.zip","triage",""
"2026-06-23 22:44:40","3201","Bertha 2-3201-1-0.zip","0.23","https://www.nexusmods.com/witcher3/mods/3201","C:\Users\marti\Downloads\Bertha 2-3201-1-0.zip","triage",""
"2026-06-23 22:44:24","3201","Suzy 2-3201-1-0.zip","0.21","https://www.nexusmods.com/witcher3/mods/3201","C:\Users\marti\Downloads\Suzy 2-3201-1-0.zip","triage",""
"2026-06-23 22:44:06","3201","Mercia 2.-3201-1-0.zip","0.2","https://www.nexusmods.com/witcher3/mods/3201","C:\Users\marti\Downloads\Mercia 2.-3201-1-0.zip","triage",""
"2026-06-23 22:43:54","3201","Narcissa 3-3201-1-0-1561546829.zip","2.72","https://www.nexusmods.com/witcher3/mods/3201","C:\Users\marti\Downloads\Narcissa 3-3201-1-0-1561546829.zip","triage",""
"2026-06-23 22:43:33","3201","Amrynn 3-3201-1-0-1561546921.zip","0.19","https://www.nexusmods.com/witcher3/mods/3201","C:\Users\marti\Downloads\Amrynn 3-3201-1-0-1561546921.zip","triage",""
"2026-06-23 22:43:18","3201","Viola 3-3201-1-0-1561547051.zip","0.22","https://www.nexusmods.com/witcher3/mods/3201","C:\Users\marti\Downloads\Viola 3-3201-1-0-1561547051.zip","triage",""
"2026-06-23 22:43:02","3201","Narcissa 1-3201-1-2-1562678565.zip","0.4","https://www.nexusmods.com/witcher3/mods/3201","C:\Users\marti\Downloads\Narcissa 1-3201-1-2-1562678565.zip","triage",""
"2026-06-23 22:42:39","3201","Viola 2-3201-1-2-1562678752.zip","0.44","https://www.nexusmods.com/witcher3/mods/3201","C:\Users\marti\Downloads\Viola 2-3201-1-2-1562678752.zip","triage",""
"2026-06-23 22:42:20","3201","Amrynn 2-3201-1-1-1608638853(1).zip","0.66","https://www.nexusmods.com/witcher3/mods/3201","C:\Users\marti\Downloads\Amrynn 2-3201-1-1-1608638853(1).zip","triage",""
